,0
0,0.5344645085273065
1,0.5129724057312431
2,0.5234859197596586
3,0.8739957925584684
4,0.5553697951061741
5,0.6376497643217023
6,0.6971162740622918
7,0.9653113308589726
8,0.573213972147684
9,0.9350416062998465
10,0.8803624147448211
11,0.8241911409751699
12,0.6712113183822279
13,0.7980642240762993
14,0.6699366512896862
15,0.8727479802657131
16,0.8146345802061864
17,0.9812075165362364
18,0.5013831660899294
19,0.6332951894417631
20,0.9098961307781662
21,0.507301700691918
22,0.9400713564963467
23,0.5642453787826572
24,0.5670264193662021
25,0.5311198211148701
26,0.8526737895870016
27,0.8819980383459927
28,0.7407752866795719
29,0.6032056091497544
30,0.5291691996130665
31,0.7662181744115945
32,0.7306500324558345
33,0.6681896381901113
34,0.5459320380659698
35,0.7141225870686003
36,0.7213754653318327
37,0.5920769392887552
38,0.7871045946274728
39,0.9009763029454577
40,0.518236284099332
41,0.8927775656837612
42,0.681413451173739
43,0.9180858030841067
44,0.6527111278874246
45,0.7164576634905893
46,0.6052167441966405
47,0.5430421351908339
48,0.5714373699008596
49,0.9131194517253107
50,0.9991914270037718
51,0.6192688646881893
52,0.5273556843159825
53,0.5404431148766016
54,0.5742994867920062
55,0.6492791485873376
56,0.5694380156362693
57,0.5901446442621294
58,0.7917956805383292
59,0.6760932260615438
60,0.9020158364496632
61,0.6640474753536305
62,0.7138314596265449
63,0.8470637807521786
64,0.5761089602539442
65,0.6483016872069902
66,0.5574676613161964
67,0.507633470090385
68,0.5522949619967298
69,0.8572347765149447
70,0.6077885835190499
71,0.8166160861693835
72,0.6826619356729987
73,0.5452885686427339
74,0.8696008251012425
75,0.6143861768106101
76,0.7331891978985795
77,0.713637155768714
78,0.6610655974845729
79,0.7914937700623393
80,0.5236175831314851
81,0.5439579440053466
82,0.9658882684816734
83,0.5962403569308548
84,0.5853009735473595
85,0.5113758488350503
86,0.6525508836139021
87,0.8095356252691878
88,0.7057798109708997
89,0.5280118653378997
90,0.9840117506531845
91,0.6972786336399728
92,0.6638555283626512
93,0.9032213957450798
94,0.7344321379754711
95,0.7170540613351051
96,0.6759529437620505
97,0.5708153435546578
98,0.8981247966762582
99,0.731441376477418
100,0.5725505298425629
101,0.8372174246407608
102,0.5969257334968083
103,0.7548889130033827
104,0.5606924312712946
105,0.5559579244875171
106,0.55530870791106
107,0.7641603246652319
108,0.5534459239233237
109,0.6410046988814746
110,0.8702703266020776
111,0.5903733948009627
112,0.6961376256996012
113,0.5239552370077887
114,0.849591772379764
115,0.604535233448768
116,0.9563930665090733
117,0.9337787696908969
118,0.634565961397256
119,0.5774523246442745
